Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_Q2b, predator_Q1a, predator_g532, predator_mrna533, predator_Q2b_H2, predator_g532_Q2b_H2, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_H1, predator_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47
INVAR-1, Run: 027, P, 1, 12, 29, 3, 1, 4, 5, 0, 4, 1, 8, 0, 1, 0, 1, 0, 0, 0, 0, 1, 7, 15, 19, 2, 0, 0, 3, 13, 1, 48, 14, 58, 0, 1, 16, 16, 3, 0, 8, 4, 8, 0, 45, 3, 28, 23, 18, 42, 26, 16, 55, 0, 0, 0, 0, 0, 0, 0, 8, 1, 22, 7, 26, 7, 476, 0, 0, 450, 1, 0, 1, 1, 24, 21
INVAR-1, Run: 028, P, 1, 10, 39, 0, 1, 0, 0, 0, 0, 1, 15, 72, 0, 0, 1, 1, 0, 0, 8, 1, 16, 59, 0, 0, 0, 0, 0, 10, 0, 54, 15, 54, 0, 0, 6, 6, 0, 0, 0, 0, 15, 0, 80, 8, 0, 1, 1, 0, 0, 14, 54, 1, 0, 0, 0, 0, 9, 1, 16, 0, 78, 19, 59, 2, 295, 0, 0, 281, 0, 57, 0, 0, 14, 14
INVAR-1, Run: 029, P, 1, 5, 34, 0, 1, 1, 0, 0, 0, 1, 7, 17, 0, 0, 1, 4, 0, 0, 14, 1, 6, 24, 0, 0, 0, 0, 0, 8, 3, 45, 11, 39, 0, 1, 0, 0, 0, 0, 1, 1, 7, 0, 34, 4, 22, 0, 0, 13, 20, 0, 39, 4, 0, 0, 0, 0, 18, 4, 7, 1, 32, 8, 32, 0, 0, 0, 0, 0, 2, 32, 2, 2, 0, 0
INVAR-1, Run: 030, P, 1, 15, 52, 0, 1, 1, 0, 0, 0, 1, 6, 14, 0, 0, 1, 1, 0, 0, 4, 1, 14, 40, 0, 0, 0, 0, 0, 15, 0, 73, 21, 65, 1, 1, 3, 3, 0, 0, 4, 4, 6, 0, 32, 0, 70, 5, 5, 18, 66, 10, 64, 1, 0, 0, 0, 0, 5, 1, 14, 0, 58, 18, 64, 0, 177, 0, 0, 167, 4, 64, 4, 4, 10, 10
INVAR-1, Run: 031, P, 1, 16, 63, 6, 1, 6, 2, 0, 6, 1, 11, 0, 1, 0, 0, 1, 0, 1, 3, 1, 11, 48, 0, 0, 0, 1, 0, 16, 0, 88, 23, 87, 0, 0, 49, 49, 6, 0, 28, 22, 11, 0, 33, 0, 137, 106, 104, 33, 129, 76, 81, 0, 13, 12, 1, 0, 3, 0, 11, 0, 72, 23, 72, 13, 1527, 12, 11, 1449, 5, 59, 7, 6, 78, 78
INVAR-1, Run: 032, P, 1, 10, 19, 1, 0, 3, 4, 1, 3, 1, 11, 1, 0, 1, 1, 0, 0, 0, 0, 1, 14, 57, 47, 7, 0, 1, 5, 10, 0, 33, 9, 40, 0, 0, 21, 20, 3, 0, 5, 2, 12, 1, 55, 2, 9, 39, 34, 52, 8, 65, 39, 0, 0, 0, 0, 0, 0, 0, 14, 0, 81, 24, 70, 23, 1944, 0, 0, 1861, 0, 0, 1, 0, 76, 71
INVAR-1, Run: 033, P, 1, 14, 52, 0, 0, 3, 2, 1, 3, 1, 12, 0, 0, 0, 1, 1, 0, 0, 1, 1, 7, 38, 0, 0, 0, 0, 0, 15, 1, 80, 25, 58, 0, 0, 27, 26, 3, 0, 3, 0, 12, 0, 88, 9, 2, 39, 36, 79, 2, 17, 58, 1, 0, 0, 0, 0, 1, 0, 7, 0, 47, 9, 31, 3, 499, 0, 0, 479, 0, 28, 0, 0, 20, 20
INVAR-1, Run: 034, P, 1, 18, 35, 7, 0, 4, 5, 1, 5, 1, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 14, 55, 53, 5, 0, 0, 4, 18, 0, 65, 24, 67, 0, 0, 32, 31, 4, 0, 8, 3, 9, 0, 41, 6, 22, 90, 84, 35, 22, 78, 60, 0, 0, 0, 0, 0, 0, 0, 15, 1, 81, 26, 72, 19, 2083, 0, 0, 1990, 0, 0, 0, 0, 88, 84
INVAR-1, Run: 035, P, 1, 19, 64, 9, 0, 2, 6, 1, 2, 1, 7, 0, 0, 0, 1, 0, 0, 0, 0, 1, 14, 42, 38, 6, 0, 1, 1, 19, 0, 95, 24, 89, 1, 1, 35, 34, 1, 0, 14, 12, 8, 1, 44, 0, 142, 99, 92, 44, 136, 55, 79, 0, 7, 7, 0, 0, 0, 0, 16, 2, 52, 10, 51, 13, 1311, 5, 5, 1242, 5, 0, 6, 5, 63, 62
INVAR-1, Run: 036, P, 1, 8, 41, 0, 0, 2, 0, 1, 0, 1, 17, 35, 0, 0, 1, 0, 0, 0, 0, 1, 8, 15, 15, 2, 0, 0, 2, 10, 2, 66, 24, 62, 0, 1, 10, 9, 1, 0, 6, 6, 17, 0, 91, 3, 65, 12, 11, 53, 61, 11, 62, 0, 0, 0, 0, 0, 0, 0, 8, 0, 21, 6, 18, 3, 339, 1, 1, 323, 4, 0, 4, 4, 14, 12
INVAR-1, Run: 037, P, 1, 11, 42, 0, 1, 1, 0, 0, 0, 1, 5, 3, 0, 0, 0, 2, 0, 1, 2, 1, 13, 62, 0, 0, 0, 0, 0, 11, 0, 51, 9, 47, 0, 0, 9, 9, 1, 0, 11, 11, 6, 1, 23, 0, 61, 8, 8, 20, 59, 16, 47, 1, 9, 8, 1, 0, 4, 2, 14, 1, 81, 18, 75, 5, 419, 6, 5, 403, 1, 70, 2, 2, 16, 16
INVAR-1, Run: 038, P, 1, 14, 57, 0, 0, 4, 8, 1, 3, 1, 8, 1, 0, 0, 1, 0, 0, 0, 0, 1, 7, 26, 19, 3, 0, 0, 0, 15, 1, 90, 24, 83, 2, 1, 25, 24, 3, 0, 13, 10, 9, 1, 38, 2, 91, 71, 62, 35, 86, 32, 81, 0, 3, 3, 0, 0, 0, 0, 9, 2, 37, 11, 27, 8, 729, 2, 2, 685, 5, 0, 5, 5, 41, 41
INVAR-1, Run: 039, P, 1, 13, 49, 0, 0, 7, 6, 1, 4, 1, 15, 1, 0, 0, 1, 0, 0, 0, 0, 1, 11, 35, 29, 1, 0, 0, 0, 13, 0, 73, 17, 85, 1, 1, 25, 24, 6, 0, 25, 21, 15, 0, 72, 1, 80, 43, 36, 70, 79, 35, 84, 0, 0, 0, 0, 0, 0, 0, 12, 1, 51, 16, 51, 22, 1132, 0, 0, 1089, 1, 0, 1, 1, 42, 42
INVAR-1, Run: 040, P, 1, 11, 29, 0, 0, 3, 2, 1, 2, 1, 12, 2, 0, 0, 1, 0, 0, 0, 0, 1, 11, 55, 45, 1, 0, 0, 3, 11, 0, 46, 14, 58, 0, 0, 9, 8, 3, 0, 3, 1, 12, 0, 48, 3, 1, 30, 27, 43, 1, 54, 58, 0, 0, 0, 0, 0, 0, 0, 11, 0, 73, 18, 63, 18, 1539, 0, 0, 1478, 0, 0, 0, 0, 60, 57
INVAR-1, Run: 041, P, 1, 6, 23, 1, 0, 4, 3, 1, 2, 1, 8, 1, 0, 0, 1, 1, 0, 0, 0, 1, 11, 33, 46, 3, 0, 0, 5, 6, 0, 38, 11, 50, 1, 1, 21, 20, 3, 0, 15, 13, 8, 0, 38, 0, 123, 43, 39, 37, 118, 55, 48, 1, 0, 0, 0, 0, 0, 0, 12, 1, 41, 8, 58, 12, 1245, 1, 1, 1178, 5, 0, 5, 5, 64, 59
INVAR-1, Run: 042, P, 1, 10, 35, 0, 0, 2, 6, 1, 4, 1, 17, 0, 0, 0, 1, 0, 0, 0, 0, 1, 9, 31, 26, 1, 0, 0, 3, 11, 1, 51, 9, 47, 0, 0, 24, 23, 2, 0, 6, 2, 18, 1, 102, 14, 3, 36, 29, 88, 3, 22, 47, 0, 0, 0, 0, 0, 0, 0, 10, 1, 48, 17, 42, 16, 799, 0, 0, 766, 0, 0, 0, 0, 32, 29
INVAR-1, Run: 043, P, 1, 13, 33, 0, 0, 1, 2, 1, 0, 1, 11, 50, 0, 0, 1, 0, 0, 0, 0, 1, 10, 41, 54, 5, 0, 0, 4, 13, 0, 51, 15, 62, 0, 0, 32, 31, 1, 0, 0, 0, 11, 0, 60, 10, 53, 97, 94, 0, 51, 75, 62, 0, 0, 0, 0, 0, 0, 0, 11, 1, 60, 19, 69, 15, 1990, 0, 0, 1903, 2, 0, 2, 2, 82, 78
INVAR-1, Run: 044, P, 1, 13, 33, 4, 1, 2, 0, 0, 2, 1, 12, 0, 0, 0, 1, 1, 0, 0, 6, 1, 14, 46, 0, 0, 0, 0, 0, 14, 1, 47, 14, 40, 0, 1, 3, 3, 1, 0, 17, 15, 12, 0, 72, 2, 21, 5, 5, 70, 19, 11, 36, 1, 3, 3, 0, 0, 6, 0, 15, 1, 64, 18, 51, 3, 273, 3, 3, 262, 2, 48, 2, 2, 11, 11
INVAR-1, Run: 045, P, 1, 15, 52, 1, 1, 2, 0, 0, 1, 1, 11, 0, 0, 0, 1, 1, 0, 0, 5, 1, 10, 42, 0, 0, 0, 1, 0, 16, 1, 78, 26, 75, 0, 2, 0, 0, 0, 0, 4, 3, 11, 0, 44, 4, 68, 0, 0, 40, 66, 12, 74, 1, 0, 0, 0, 0, 6, 1, 12, 2, 55, 13, 43, 0, 135, 0, 0, 123, 1, 43, 2, 1, 12, 12
INVAR-1, Run: 046, P, 1, 9, 33, 0, 1, 2, 0, 0, 1, 1, 9, 1, 0, 0, 1, 2, 0, 0, 16, 1, 15, 47, 0, 0, 0, 0, 0, 10, 1, 41, 8, 38, 0, 1, 4, 4, 1, 0, 3, 2, 10, 1, 39, 3, 9, 2, 2, 35, 9, 4, 38, 2, 0, 0, 0, 0, 17, 1, 15, 0, 68, 21, 78, 0, 70, 0, 0, 66, 0, 78, 0, 0, 4, 4
INVAR-1, Run: 047, P, 1, 10, 39, 4, 1, 4, 0, 0, 4, 1, 10, 0, 0, 0, 1, 3, 0, 0, 11, 1, 8, 27, 0, 0, 0, 0, 0, 10, 0, 56, 17, 57, 0, 0, 8, 8, 4, 0, 22, 18, 10, 0, 47, 0, 130, 9, 9, 47, 122, 10, 53, 1, 4, 4, 2, 0, 11, 0, 8, 0, 37, 10, 49, 1, 139, 1, 1, 129, 8, 48, 8, 8, 10, 10
INVAR-1, Run: 048, P, 1, 10, 30, 0, 1, 0, 0, 0, 0, 1, 10, 19, 0, 0, 1, 2, 0, 0, 7, 1, 11, 57, 0, 0, 0, 0, 0, 11, 1, 38, 8, 32, 1, 0, 4, 4, 0, 0, 0, 0, 10, 0, 21, 2, 112, 2, 2, 0, 103, 17, 31, 1, 11, 11, 1, 0, 9, 2, 11, 0, 77, 20, 80, 2, 244, 8, 8, 227, 9, 78, 9, 9, 17, 17
INVAR-1, Run: 049, P, 1, 8, 37, 0, 0, 3, 2, 1, 2, 1, 9, 1, 0, 0, 1, 1, 0, 0, 2, 1, 8, 36, 0, 0, 0, 0, 0, 8, 0, 55, 15, 53, 0, 0, 21, 20, 3, 0, 5, 3, 10, 1, 69, 9, 17, 50, 47, 59, 16, 44, 53, 1, 0, 0, 0, 0, 2, 0, 8, 0, 41, 5, 60, 11, 1115, 0, 0, 1068, 1, 49, 1, 1, 47, 47
INVAR-1, Run: 050, P, 1, 11, 41, 1, 1, 1, 0, 0, 3, 1, 13, 1, 0, 0, 1, 2, 0, 0, 7, 1, 8, 27, 0, 0, 0, 0, 0, 11, 0, 56, 15, 38, 0, 1, 0, 0, 0, 0, 13, 10, 13, 0, 82, 2, 11, 0, 0, 79, 11, 0, 37, 2, 0, 0, 0, 0, 9, 2, 8, 0, 32, 5, 46, 0, 6, 0, 0, 6, 0, 46, 0, 0, 0, 0
INVAR-1, Run: 051, P, 1, 10, 48, 0, 1, 2, 0, 0, 0, 1, 12, 3, 0, 0, 1, 3, 0, 0, 9, 1, 16, 58, 0, 0, 0, 0, 0, 11, 1, 57, 9, 56, 0, 3, 0, 0, 0, 1, 7, 7, 12, 0, 68, 5, 21, 1, 1, 60, 20, 4, 56, 3, 0, 0, 0, 0, 10, 1, 16, 0, 77, 19, 65, 0, 99, 0, 0, 95, 1, 65, 1, 1, 4, 4
INVAR-1, Run: 052, P, 1, 10, 20, 2, 1, 4, 0, 0, 3, 1, 14, 0, 0, 0, 1, 1, 0, 0, 1, 1, 10, 38, 0, 0, 0, 0, 0, 11, 1, 23, 3, 22, 0, 1, 10, 10, 3, 0, 11, 8, 14, 0, 72, 4, 2, 14, 14, 68, 2, 40, 20, 1, 0, 0, 0, 0, 1, 0, 10, 0, 58, 20, 55, 11, 922, 0, 0, 882, 0, 44, 0, 0, 40, 40
INVAR-1, Run: 053, P, 1, 10, 27, 0, 0, 2, 8, 1, 0, 1, 10, 2, 0, 0, 1, 0, 0, 0, 0, 1, 11, 59, 51, 5, 0, 0, 2, 10, 0, 41, 5, 47, 0, 0, 22, 21, 2, 0, 1, 1, 11, 1, 46, 3, 2, 68, 59, 41, 2, 81, 47, 0, 0, 0, 0, 0, 0, 0, 12, 1, 78, 19, 73, 22, 1971, 0, 0, 1874, 0, 0, 0, 0, 92, 90
INVAR-1, Run: 054, P, 1, 12, 59, 0, 1, 2, 0, 0, 1, 1, 10, 0, 0, 0, 1, 2, 0, 0, 6, 1, 7, 30, 0, 0, 0, 0, 0, 14, 2, 77, 18, 72, 1, 1, 10, 10, 1, 0, 10, 9, 13, 3, 57, 0, 65, 12, 12, 57, 60, 14, 71, 2, 2, 2, 0, 0, 8, 2, 7, 0, 41, 11, 49, 7, 375, 3, 3, 361, 5, 42, 5, 5, 14, 14
