Input Number, Run_Number, Result@ 100, Y, X, XP, Z, YP
INVAR-10, Run: 043, F, 0, 0, 17, 42, 0
INVAR-10, Run: 044, F, 0, 0, 18, 42, 0
INVAR-10, Run: 045, F, 0, 0, 19, 42, 0
INVAR-10, Run: 046, F, 0, 0, 14, 42, 0
INVAR-10, Run: 047, F, 0, 0, 18, 42, 0
INVAR-10, Run: 048, F, 0, 0, 17, 42, 0
INVAR-10, Run: 049, F, 0, 0, 17, 42, 0
INVAR-10, Run: 050, F, 0, 0, 22, 42, 0
INVAR-10, Run: 051, F, 0, 0, 12, 42, 0
INVAR-10, Run: 052, F, 0, 0, 24, 42, 0
INVAR-10, Run: 053, F, 0, 0, 15, 42, 0
INVAR-10, Run: 054, F, 0, 0, 20, 42, 0
INVAR-10, Run: 055, F, 0, 0, 18, 42, 0
INVAR-10, Run: 056, F, 0, 0, 16, 42, 0
INVAR-10, Run: 057, F, 0, 0, 18, 42, 0
INVAR-10, Run: 058, F, 0, 0, 14, 42, 0
INVAR-10, Run: 059, F, 0, 0, 11, 42, 0
INVAR-10, Run: 060, F, 0, 0, 23, 42, 0
INVAR-10, Run: 061, F, 0, 0, 14, 42, 0
INVAR-10, Run: 062, F, 0, 0, 11, 42, 0
INVAR-10, Run: 063, F, 0, 0, 18, 42, 0
INVAR-10, Run: 064, F, 0, 0, 12, 42, 0
INVAR-10, Run: 065, F, 0, 0, 26, 42, 0
INVAR-10, Run: 066, F, 0, 0, 16, 42, 0
INVAR-10, Run: 067, F, 0, 0, 18, 42, 0
INVAR-10, Run: 068, F, 0, 0, 23, 42, 0
INVAR-10, Run: 069, F, 0, 0, 15, 42, 0
INVAR-10, Run: 070, F, 0, 0, 12, 42, 0
INVAR-10, Run: 071, F, 0, 0, 12, 42, 0
INVAR-10, Run: 072, F, 0, 0, 13, 42, 0
INVAR-10, Run: 073, F, 0, 0, 17, 42, 0
INVAR-10, Run: 074, F, 0, 0, 21, 42, 0
INVAR-10, Run: 075, F, 0, 0, 16, 42, 0
INVAR-10, Run: 076, F, 0, 0, 13, 42, 0
INVAR-10, Run: 077, F, 0, 0, 15, 42, 0
INVAR-10, Run: 078, F, 0, 0, 19, 42, 0
INVAR-10, Run: 079, F, 0, 0, 19, 42, 0
INVAR-10, Run: 080, F, 0, 0, 18, 42, 0
INVAR-10, Run: 081, F, 0, 0, 14, 42, 0
INVAR-10, Run: 082, F, 0, 0, 11, 42, 0
INVAR-10, Run: 083, F, 0, 0, 7, 42, 0
INVAR-10, Run: 084, F, 0, 0, 17, 42, 0
INVAR-10, Run: 085, F, 0, 0, 17, 42, 0
INVAR-10, Run: 086, F, 0, 0, 19, 42, 0
INVAR-10, Run: 087, F, 0, 0, 15, 42, 0
INVAR-10, Run: 088, F, 0, 0, 19, 42, 0
INVAR-10, Run: 089, F, 0, 0, 13, 42, 0
INVAR-10, Run: 090, F, 0, 0, 12, 42, 0
INVAR-10, Run: 091, F, 0, 0, 26, 42, 0
INVAR-10, Run: 092, F, 0, 0, 23, 42, 0
INVAR-10, Run: 093, F, 0, 0, 15, 42, 0
INVAR-10, Run: 094, F, 0, 0, 24, 42, 0
INVAR-10, Run: 095, F, 0, 0, 18, 42, 0
INVAR-10, Run: 096, F, 0, 0, 14, 42, 0
INVAR-10, Run: 097, F, 0, 0, 12, 42, 0
INVAR-10, Run: 098, F, 0, 0, 22, 42, 0
INVAR-10, Run: 099, F, 0, 0, 23, 42, 0
INVAR-10, Run: 100, F, 0, 0, 21, 42, 0
INVAR-11, Run: 001, F, 0, 0, 10, 58, 0
INVAR-11, Run: 002, F, 0, 0, 16, 58, 0
INVAR-11, Run: 003, F, 0, 0, 0, 59, 1
INVAR-11, Run: 004, F, 0, 0, 12, 58, 0
INVAR-11, Run: 005, F, 0, 0, 0, 58, 0
INVAR-11, Run: 006, F, 0, 0, 5, 58, 0
INVAR-11, Run: 007, F, 0, 0, 11, 58, 0
INVAR-11, Run: 008, F, 0, 0, 3, 58, 0
INVAR-11, Run: 009, F, 0, 0, 5, 58, 0
INVAR-11, Run: 010, F, 0, 0, 10, 58, 0
INVAR-11, Run: 011, F, 0, 0, 16, 58, 0
INVAR-11, Run: 012, F, 0, 0, 7, 58, 0
INVAR-11, Run: 013, F, 0, 0, 12, 58, 0
INVAR-11, Run: 014, F, 0, 0, 18, 58, 0
INVAR-11, Run: 015, F, 0, 0, 8, 58, 0
INVAR-11, Run: 016, F, 0, 0, 8, 58, 0
INVAR-11, Run: 017, F, 0, 0, 2, 58, 0
INVAR-11, Run: 018, F, 0, 0, 6, 58, 0
INVAR-11, Run: 019, F, 0, 0, 14, 58, 0
INVAR-11, Run: 020, F, 0, 0, 5, 58, 0
INVAR-11, Run: 021, F, 0, 0, 14, 58, 0
INVAR-11, Run: 022, F, 0, 0, 6, 58, 0
INVAR-11, Run: 023, F, 0, 0, 14, 58, 0
INVAR-11, Run: 024, F, 0, 0, 14, 58, 0
INVAR-11, Run: 025, F, 0, 0, 7, 58, 0
INVAR-11, Run: 026, F, 0, 0, 8, 58, 0
INVAR-11, Run: 027, F, 0, 0, 8, 58, 0
INVAR-11, Run: 028, F, 0, 0, 6, 58, 0
INVAR-11, Run: 029, F, 0, 0, 5, 58, 0
INVAR-11, Run: 030, F, 0, 0, 4, 58, 0
INVAR-11, Run: 031, F, 0, 0, 11, 58, 0
INVAR-11, Run: 032, F, 0, 0, 5, 58, 0
INVAR-11, Run: 033, F, 0, 0, 18, 58, 0
INVAR-11, Run: 034, F, 0, 0, 1, 58, 0
INVAR-11, Run: 035, F, 0, 0, 6, 58, 0
INVAR-11, Run: 036, F, 0, 0, 18, 58, 0
INVAR-11, Run: 037, F, 0, 0, 9, 58, 0
INVAR-11, Run: 038, F, 0, 0, 7, 58, 0
INVAR-11, Run: 039, F, 0, 0, 6, 58, 0
INVAR-11, Run: 040, F, 0, 0, 8, 58, 0
INVAR-11, Run: 041, F, 0, 0, 8, 58, 0
INVAR-11, Run: 042, F, 0, 0, 10, 58, 0
INVAR-11, Run: 043, F, 0, 0, 8, 58, 0
INVAR-11, Run: 044, F, 0, 0, 5, 58, 0
INVAR-11, Run: 045, F, 0, 0, 14, 58, 0
INVAR-11, Run: 046, F, 0, 0, 7, 58, 0
INVAR-11, Run: 047, F, 0, 0, 9, 58, 0
INVAR-11, Run: 048, F, 0, 0, 25, 58, 0
INVAR-11, Run: 049, F, 0, 0, 11, 58, 0
INVAR-11, Run: 050, F, 0, 0, 19, 58, 0
INVAR-11, Run: 051, F, 0, 0, 9, 58, 0
INVAR-11, Run: 052, F, 0, 0, 8, 58, 0
INVAR-11, Run: 053, F, 0, 0, 14, 58, 0
INVAR-11, Run: 054, F, 0, 0, 4, 58, 0
INVAR-11, Run: 055, F, 0, 0, 6, 58, 0
INVAR-11, Run: 056, F, 0, 0, 6, 58, 0
INVAR-11, Run: 057, F, 0, 0, 0, 64, 6
INVAR-11, Run: 058, F, 0, 0, 10, 58, 0
INVAR-11, Run: 059, F, 0, 0, 6, 58, 0
INVAR-11, Run: 060, F, 0, 0, 12, 58, 0
INVAR-11, Run: 061, F, 0, 0, 14, 58, 0
INVAR-11, Run: 062, F, 0, 0, 14, 58, 0
INVAR-11, Run: 063, F, 0, 0, 6, 58, 0
INVAR-11, Run: 064, F, 0, 0, 5, 58, 0
INVAR-11, Run: 065, F, 0, 0, 5, 58, 0
INVAR-11, Run: 066, F, 0, 0, 4, 58, 0
INVAR-11, Run: 067, F, 0, 0, 16, 58, 0
INVAR-11, Run: 068, F, 0, 0, 8, 58, 0
INVAR-11, Run: 069, F, 0, 0, 5, 58, 0
INVAR-11, Run: 070, F, 0, 0, 3, 58, 0
INVAR-11, Run: 071, F, 0, 0, 12, 58, 0
INVAR-11, Run: 072, F, 0, 0, 0, 60, 2
INVAR-11, Run: 073, F, 0, 0, 2, 58, 0
INVAR-11, Run: 074, F, 0, 0, 9, 58, 0
INVAR-11, Run: 075, F, 0, 0, 18, 58, 0
INVAR-11, Run: 076, F, 0, 0, 15, 58, 0
INVAR-11, Run: 077, F, 0, 0, 4, 58, 0
INVAR-11, Run: 078, F, 0, 0, 4, 58, 0
INVAR-11, Run: 079, F, 0, 0, 3, 58, 0
INVAR-11, Run: 080, F, 0, 0, 5, 58, 0
INVAR-11, Run: 081, F, 0, 0, 0, 59, 1
INVAR-11, Run: 082, F, 0, 0, 6, 58, 0
INVAR-11, Run: 083, F, 0, 0, 14, 58, 0
INVAR-11, Run: 084, F, 0, 0, 18, 58, 0
INVAR-11, Run: 085, F, 0, 0, 8, 58, 0
INVAR-11, Run: 086, F, 0, 0, 3, 58, 0
INVAR-11, Run: 087, F, 0, 0, 14, 58, 0
INVAR-11, Run: 088, F, 0, 0, 11, 58, 0
INVAR-11, Run: 089, F, 0, 0, 9, 58, 0
INVAR-11, Run: 090, F, 0, 0, 1, 58, 0
INVAR-11, Run: 091, F, 0, 0, 2, 58, 0
INVAR-11, Run: 092, F, 0, 0, 0, 63, 5
INVAR-11, Run: 093, F, 0, 0, 7, 58, 0
INVAR-11, Run: 094, F, 0, 0, 8, 58, 0
INVAR-11, Run: 095, F, 0, 0, 9, 58, 0
INVAR-11, Run: 096, F, 0, 0, 0, 62, 4
INVAR-11, Run: 097, F, 0, 0, 12, 58, 0
INVAR-11, Run: 098, F, 0, 0, 2, 58, 0
INVAR-11, Run: 099, F, 0, 0, 5, 58, 0
INVAR-11, Run: 100, F, 0, 0, 2, 58, 0
INVAR-12, Run: 001, F, 0, 0, 42, 130, 0
INVAR-12, Run: 002, F, 0, 0, 29, 130, 0
INVAR-12, Run: 003, F, 0, 0, 23, 130, 0
INVAR-12, Run: 004, F, 0, 0, 36, 130, 0
INVAR-12, Run: 005, F, 0, 0, 25, 130, 0
INVAR-12, Run: 006, F, 0, 0, 17, 130, 0
INVAR-12, Run: 007, F, 0, 0, 28, 130, 0
INVAR-12, Run: 008, F, 0, 0, 39, 130, 0
INVAR-12, Run: 009, F, 0, 0, 25, 130, 0
INVAR-12, Run: 010, F, 0, 0, 34, 130, 0
INVAR-12, Run: 011, F, 0, 0, 31, 130, 0
INVAR-12, Run: 012, F, 0, 0, 25, 130, 0
INVAR-12, Run: 013, F, 0, 0, 31, 130, 0
INVAR-12, Run: 014, F, 0, 0, 17, 130, 0
INVAR-12, Run: 015, F, 0, 0, 29, 130, 0
INVAR-12, Run: 016, F, 0, 0, 37, 130, 0
INVAR-12, Run: 017, F, 0, 0, 22, 130, 0
INVAR-12, Run: 018, F, 0, 0, 20, 130, 0
INVAR-12, Run: 019, F, 0, 0, 19, 130, 0
INVAR-12, Run: 020, F, 0, 0, 28, 130, 0
INVAR-12, Run: 021, F, 0, 0, 24, 130, 0
INVAR-12, Run: 022, F, 0, 0, 27, 130, 0
INVAR-12, Run: 023, F, 0, 0, 33, 130, 0
INVAR-12, Run: 024, F, 0, 0, 35, 130, 0
INVAR-12, Run: 025, F, 0, 0, 30, 130, 0
INVAR-12, Run: 026, F, 0, 0, 37, 130, 0
INVAR-12, Run: 027, F, 0, 0, 25, 130, 0
INVAR-12, Run: 028, F, 0, 0, 27, 130, 0
INVAR-12, Run: 029, F, 0, 0, 35, 130, 0
INVAR-12, Run: 030, F, 0, 0, 46, 130, 0
INVAR-12, Run: 031, F, 0, 0, 27, 130, 0
INVAR-12, Run: 032, F, 0, 0, 25, 130, 0
INVAR-12, Run: 033, F, 0, 0, 34, 130, 0
INVAR-12, Run: 034, F, 0, 0, 27, 130, 0
INVAR-12, Run: 035, F, 0, 0, 28, 130, 0
INVAR-12, Run: 036, F, 0, 0, 37, 130, 0
INVAR-12, Run: 037, F, 0, 0, 28, 130, 0
INVAR-12, Run: 038, F, 0, 0, 26, 130, 0
INVAR-12, Run: 039, F, 0, 0, 32, 130, 0
INVAR-12, Run: 040, F, 0, 0, 26, 130, 0
INVAR-12, Run: 041, F, 0, 0, 36, 130, 0
INVAR-12, Run: 042, F, 0, 0, 34, 130, 0
INVAR-12, Run: 043, F, 0, 0, 41, 130, 0
INVAR-12, Run: 044, F, 0, 0, 36, 130, 0
INVAR-12, Run: 045, F, 0, 0, 15, 130, 0
INVAR-12, Run: 046, F, 0, 0, 35, 130, 0
INVAR-12, Run: 047, F, 0, 0, 29, 130, 0
INVAR-12, Run: 048, F, 0, 0, 32, 130, 0
INVAR-12, Run: 049, F, 0, 0, 29, 130, 0
INVAR-12, Run: 050, F, 0, 0, 37, 130, 0
INVAR-12, Run: 051, F, 0, 0, 46, 130, 0
INVAR-12, Run: 052, F, 0, 0, 36, 130, 0
INVAR-12, Run: 053, F, 0, 0, 36, 130, 0
INVAR-12, Run: 054, F, 0, 0, 25, 130, 0
INVAR-12, Run: 055, F, 0, 0, 33, 130, 0
INVAR-12, Run: 056, F, 0, 0, 26, 130, 0
INVAR-12, Run: 057, F, 0, 0, 31, 130, 0
INVAR-12, Run: 058, F, 0, 0, 30, 130, 0
INVAR-12, Run: 059, F, 0, 0, 39, 130, 0
INVAR-12, Run: 060, F, 0, 0, 38, 130, 0
INVAR-12, Run: 061, F, 0, 0, 45, 130, 0
INVAR-12, Run: 062, F, 0, 0, 20, 130, 0
INVAR-12, Run: 063, F, 0, 0, 19, 130, 0
INVAR-12, Run: 064, F, 0, 0, 42, 130, 0
INVAR-12, Run: 065, F, 0, 0, 32, 130, 0
INVAR-12, Run: 066, F, 0, 0, 20, 130, 0
INVAR-12, Run: 067, F, 0, 0, 27, 130, 0
INVAR-12, Run: 068, F, 0, 0, 38, 130, 0
INVAR-12, Run: 069, F, 0, 0, 22, 130, 0
INVAR-12, Run: 070, F, 0, 0, 24, 130, 0
INVAR-12, Run: 071, F, 0, 0, 29, 130, 0
INVAR-12, Run: 072, F, 0, 0, 26, 130, 0
INVAR-12, Run: 073, F, 0, 0, 21, 130, 0
INVAR-12, Run: 074, F, 0, 0, 35, 130, 0
INVAR-12, Run: 075, F, 0, 0, 38, 130, 0
INVAR-12, Run: 076, F, 0, 0, 27, 130, 0
INVAR-12, Run: 077, F, 0, 0, 30, 130, 0
INVAR-12, Run: 078, F, 0, 0, 26, 130, 0
INVAR-12, Run: 079, F, 0, 0, 20, 130, 0
INVAR-12, Run: 080, F, 0, 0, 20, 130, 0
INVAR-12, Run: 081, F, 0, 0, 32, 130, 0
INVAR-12, Run: 082, F, 0, 0, 33, 130, 0
INVAR-12, Run: 083, F, 0, 0, 31, 130, 0
INVAR-12, Run: 084, F, 0, 0, 29, 130, 0
INVAR-12, Run: 085, F, 0, 0, 32, 130, 0
INVAR-12, Run: 086, F, 0, 0, 34, 130, 0
INVAR-12, Run: 087, F, 0, 0, 38, 130, 0
INVAR-12, Run: 088, F, 0, 0, 22, 130, 0
INVAR-12, Run: 089, F, 0, 0, 35, 130, 0
INVAR-12, Run: 090, F, 0, 0, 27, 130, 0
INVAR-12, Run: 091, F, 0, 0, 31, 130, 0
INVAR-12, Run: 092, F, 0, 0, 31, 130, 0
INVAR-12, Run: 093, F, 0, 0, 29, 130, 0
INVAR-12, Run: 094, F, 0, 0, 26, 130, 0
INVAR-12, Run: 095, F, 0, 0, 33, 130, 0
INVAR-12, Run: 096, F, 0, 0, 23, 130, 0
INVAR-12, Run: 097, F, 0, 0, 33, 130, 0
INVAR-12, Run: 098, F, 0, 0, 29, 130, 0
INVAR-12, Run: 099, F, 0, 0, 31, 130, 0
INVAR-12, Run: 100, F, 0, 0, 33, 130, 0
INVAR-13, Run: 001, F, 0, 0, 0, 15, 10
INVAR-13, Run: 002, F, 0, 0, 0, 6, 1
INVAR-13, Run: 003, F, 0, 0, 0, 8, 3
INVAR-13, Run: 004, F, 0, 0, 0, 8, 3
INVAR-13, Run: 005, F, 0, 0, 0, 8, 3
INVAR-13, Run: 006, F, 0, 0, 0, 11, 6
INVAR-13, Run: 007, F, 0, 0, 0, 13, 8
INVAR-13, Run: 008, F, 0, 0, 0, 9, 4
INVAR-13, Run: 009, F, 0, 0, 0, 10, 5
INVAR-13, Run: 010, F, 0, 0, 0, 9, 4
INVAR-13, Run: 011, F, 0, 0, 0, 9, 4
INVAR-13, Run: 012, F, 0, 0, 0, 11, 6
INVAR-13, Run: 013, F, 0, 0, 0, 12, 7
INVAR-13, Run: 014, F, 0, 0, 0, 8, 3
INVAR-13, Run: 015, F, 0, 0, 0, 9, 4
INVAR-13, Run: 016, F, 0, 0, 0, 9, 4
INVAR-13, Run: 017, F, 0, 0, 0, 9, 4
INVAR-13, Run: 018, F, 0, 0, 0, 7, 2
INVAR-13, Run: 019, F, 0, 0, 0, 7, 2
INVAR-13, Run: 020, F, 0, 0, 0, 10, 5
INVAR-13, Run: 021, F, 0, 0, 0, 13, 8
INVAR-13, Run: 022, F, 0, 0, 0, 6, 1
INVAR-13, Run: 023, F, 0, 0, 0, 9, 4
INVAR-13, Run: 024, F, 0, 0, 0, 7, 2
INVAR-13, Run: 025, F, 0, 0, 0, 8, 3
INVAR-13, Run: 026, F, 0, 0, 0, 8, 3
INVAR-13, Run: 027, F, 0, 0, 0, 10, 5
INVAR-13, Run: 028, F, 0, 0, 0, 8, 3
INVAR-13, Run: 029, F, 0, 0, 0, 8, 3
INVAR-13, Run: 030, F, 0, 0, 0, 8, 3
INVAR-13, Run: 031, F, 0, 0, 0, 5, 0
INVAR-13, Run: 032, F, 0, 0, 0, 12, 7
INVAR-13, Run: 033, F, 0, 0, 0, 11, 6
INVAR-13, Run: 034, F, 0, 0, 0, 9, 4
INVAR-13, Run: 035, F, 0, 0, 0, 10, 5
INVAR-13, Run: 036, F, 0, 0, 0, 5, 0
INVAR-13, Run: 037, F, 0, 0, 0, 7, 2
INVAR-13, Run: 038, F, 0, 0, 0, 10, 5
INVAR-13, Run: 039, F, 0, 0, 0, 11, 6
INVAR-13, Run: 040, F, 0, 0, 0, 9, 4
INVAR-13, Run: 041, F, 0, 0, 0, 12, 7
INVAR-13, Run: 042, F, 0, 0, 0, 7, 2
INVAR-13, Run: 043, F, 0, 0, 0, 9, 4
INVAR-13, Run: 044, F, 0, 0, 0, 8, 3
INVAR-13, Run: 045, F, 0, 0, 0, 9, 4
INVAR-13, Run: 046, F, 0, 0, 0, 8, 3
INVAR-13, Run: 047, F, 0, 0, 0, 6, 1
INVAR-13, Run: 048, F, 0, 0, 0, 6, 1
INVAR-13, Run: 049, F, 0, 0, 0, 11, 6
INVAR-13, Run: 050, F, 0, 0, 0, 11, 6
INVAR-13, Run: 051, F, 0, 0, 0, 9, 4
INVAR-13, Run: 052, F, 0, 0, 0, 6, 1
INVAR-13, Run: 053, F, 0, 0, 0, 7, 2
INVAR-13, Run: 054, F, 0, 0, 0, 8, 3
INVAR-13, Run: 055, F, 0, 0, 0, 6, 1
INVAR-13, Run: 056, F, 0, 0, 0, 10, 5
INVAR-13, Run: 057, F, 0, 0, 0, 9, 4
INVAR-13, Run: 058, F, 0, 0, 0, 15, 10
INVAR-13, Run: 059, F, 0, 0, 0, 9, 4
INVAR-13, Run: 060, F, 0, 0, 0, 10, 5
INVAR-13, Run: 061, F, 0, 0, 0, 10, 5
INVAR-13, Run: 062, F, 0, 0, 0, 7, 2
INVAR-13, Run: 063, F, 0, 0, 0, 12, 7
INVAR-13, Run: 064, F, 0, 0, 0, 10, 5
